Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Sacks
Natano Woods,San Jose St.,630,2023-24,1,[3],['09/09/2023'],['Cal Poly'],[1.0]
Jay Kakiva,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[1.0]
Kenyon Reed,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[1.0]
Soane Toia,San Jose St.,630,2023-24,3,"[9, 10, 11]","['10/28/2023', '11/11/2023', '11/18/2023']","['Hawaii', 'Fresno St.', 'San Diego St.']","[1.5, 1.0, 2.0]"
Bryun Parham,San Jose St.,630,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['San Diego St.', 'UNLV']","[1.0, 1.0]"
Noah Lavulo,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[2.0]
John Norwood,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[1.0]
Tre Smith,San Jose St.,630,2023-24,2,"[10, 13]","['11/11/2023', '12/23/2023']","['Fresno St.', 'Coastal Carolina']","[1.0, 1.0]"
Jay'Vion Cole,San Jose St.,630,2023-24,1,[2],['09/03/2023'],['Oregon St.'],[1.0]
Jamie Sheriff,South Alabama,646,2023-24,3,"[3, 5, 10]","['09/16/2023', '09/30/2023', '11/11/2023']","['Oklahoma St.', 'James Madison', 'Arkansas St.']","[1.0, 1.0, 1.0]"
Maurice Strong Jr.,South Alabama,646,2023-24,2,"[2, 7]","['09/09/2023', '10/17/2023']","['Southeastern La.', 'Southern Miss.']","[1.0, 1.0]"
Jordan Norman,South Alabama,646,2023-24,1,[7],['10/17/2023'],['Southern Miss.'],[1.0]
Trey Kiser,South Alabama,646,2023-24,1,[9],['11/02/2023'],['Troy'],[2.0]
Lamondre Brooks,South Alabama,646,2023-24,1,[6],['10/07/2023'],['ULM'],[1.0]
Yam Banks,South Alabama,646,2023-24,1,[4],['09/23/2023'],['Central Mich.'],[1.0]
Brock Higdon,South Alabama,646,2023-24,1,[3],['09/16/2023'],['Oklahoma St.'],[2.0]
Charles Coleman III,South Alabama,646,2023-24,1,[4],['09/23/2023'],['Central Mich.'],[1.0]
Khalil Jacobs,South Alabama,646,2023-24,3,"[1, 7, 12]","['09/02/2023', '10/17/2023', '11/25/2023']","['Tulane', 'Southern Miss.', 'Texas St.']","[1.0, 1.0, 1.0]"
Quentin Wilfawn,South Alabama,646,2023-24,5,"[3, 8, 9, 10, 12]","['09/16/2023', '10/28/2023', '11/02/2023', '11/11/2023', '11/25/2023']","['Oklahoma St.', 'Louisiana', 'Troy', 'Arkansas St.', 'Texas St.']","[1.0, 1.0, 1.0, 2.5, 1.0]"
Marcellas Dial,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[1.0]
T.J. Sanders,South Carolina,648,2023-24,4,"[2, 3, 4, 6]","['09/09/2023', '09/16/2023', '09/23/2023', '10/14/2023']","['Furman', 'Georgia', 'Mississippi St.', 'Florida']","[1.0, 1.0, 1.0, 1.5]"
Alex Huntley,South Carolina,648,2023-24,1,[4],['09/23/2023'],['Mississippi St.'],[2.0]
Bryan Thomas Jr.,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[1.0]
Debo Williams,South Carolina,648,2023-24,1,[6],['10/14/2023'],['Florida'],[1.0]
Stone Blanton,South Carolina,648,2023-24,1,[3],['09/16/2023'],['Georgia'],[1.0]
Jordan Strachan,South Carolina,648,2023-24,3,"[2, 6, 11]","['09/09/2023', '10/14/2023', '11/18/2023']","['Furman', 'Florida', 'Kentucky']","[1.0, 1.0, 2.0]"
Bam Martin-Scott,South Carolina,648,2023-24,2,"[5, 10]","['09/30/2023', '11/11/2023']","['Tennessee', 'Vanderbilt']","[1.0, 1.0]"
Tyreek Johnson,South Carolina,648,2023-24,2,"[9, 12]","['11/04/2023', '11/25/2023']","['Jacksonville St.', 'Clemson']","[1.0, 1.0]"
Tonka Hemingway,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[1.0]
Daquan Evans,South Fla.,651,2023-24,2,"[3, 13]","['09/16/2023', '12/21/2023']","['Alabama', 'Syracuse']","[3.0, 1.0]"
Jaelen Stokes,South Fla.,651,2023-24,2,"[3, 13]","['09/16/2023', '12/21/2023']","['Alabama', 'Syracuse']","[1.0, 1.0]"
Lloyd Summerall III,South Fla.,651,2023-24,1,[4],['09/23/2023'],['Rice'],[1.0]
Jonathan Ross,South Fla.,651,2023-24,2,"[2, 4]","['09/09/2023', '09/23/2023']","['Florida A&M', 'Rice']","[1.0, 1.0]"
Jacquez Williams,South Fla.,651,2023-24,1,[2],['09/09/2023'],['Florida A&M'],[1.0]
Michael Williams II,South Fla.,651,2023-24,1,[9],['11/04/2023'],['Memphis'],[1.0]
Tramel Logan,South Fla.,651,2023-24,1,[9],['11/04/2023'],['Memphis'],[1.0]
DJ Gordon IV,South Fla.,651,2023-24,3,"[4, 6, 11]","['09/23/2023', '10/07/2023', '11/17/2023']","['Rice', 'UAB', 'UTSA']","[1.5, 1.0, 1.0]"
Jason Vaughn,South Fla.,651,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Florida A&M', 'Alabama']","[1.0, 1.0]"
Jhalyn Shuler,South Fla.,651,2023-24,2,"[6, 8]","['10/07/2023', '10/21/2023']","['UAB', 'UConn']","[1.0, 1.0]"
Aamaris Brown,South Fla.,651,2023-24,1,[2],['09/09/2023'],['Florida A&M'],[1.0]
Jamie Pettway,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[1.0]
Braylan Shelby,Southern California,657,2023-24,2,"[2, 6]","['09/02/2023', '10/07/2023']","['Nevada', 'Arizona']","[1.0, 1.0]"
Jack Sullivan,Southern California,657,2023-24,1,[12],['11/18/2023'],['UCLA'],[1.0]
Solomon Byrd,Southern California,657,2023-24,3,"[2, 3, 4]","['09/02/2023', '09/09/2023', '09/23/2023']","['Nevada', 'Stanford', 'Arizona St.']","[1.0, 1.0, 2.0]"
Romello Height,Southern California,657,2023-24,3,"[4, 5, 8]","['09/23/2023', '09/30/2023', '10/21/2023']","['Arizona St.', 'Colorado', 'Utah']","[2.0, 1.0, 1.0]"
Tackett Curtis,Southern California,657,2023-24,1,[4],['09/23/2023'],['Arizona St.'],[2.0]
Bear Alexander,Southern California,657,2023-24,1,[4],['09/23/2023'],['Arizona St.'],[1.0]
De'jon Benton,Southern California,657,2023-24,1,[2],['09/02/2023'],['Nevada'],[1.0]
Jaylin Smith,Southern California,657,2023-24,1,[12],['11/18/2023'],['UCLA'],[1.0]
Shane Lee,Southern California,657,2023-24,1,[2],['09/02/2023'],['Nevada'],[1.0]
Jamil Muhammad,Southern California,657,2023-24,5,"[2, 3, 4, 5, 6]","['09/02/2023', '09/09/2023', '09/23/2023', '09/30/2023', '10/07/2023']","['Nevada', 'Stanford', 'Arizona St.', 'Colorado', 'Arizona']","[1.0, 1.0, 1.0, 1.0, 2.0]"
Max Williams,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[1.0]
Eric Gentry,Southern California,657,2023-24,1,[10],['11/04/2023'],['Washington'],[1.0]
Ahmaad Moses,SMU,663,2023-24,1,[8],['10/28/2023'],['Tulsa'],[1.0]
Jaqwondis Burns,SMU,663,2023-24,2,"[1, 8]","['09/02/2023', '10/28/2023']","['Louisiana Tech', 'Tulsa']","[1.0, 1.0]"
Bryce McMorris,SMU,663,2023-24,1,[8],['10/28/2023'],['Tulsa'],[1.0]
Je'lin Samuels,SMU,663,2023-24,1,[4],['09/23/2023'],['TCU'],[1.0]
Elijah Roberts,SMU,663,2023-24,7,"[1, 3, 7, 8, 9, 10, 13]","['09/02/2023', '09/16/2023', '10/20/2023', '10/28/2023', '11/04/2023', '11/10/2023', '12/02/2023']","['Louisiana Tech', 'Prairie View', 'Temple', 'Tulsa', 'Rice', 'North Texas', 'Tulane']","[2.0, 1.0, 1.0, 1.0, 2.5, 1.0, 1.5]"
Nelson Paul,SMU,663,2023-24,4,"[1, 3, 5, 13]","['09/02/2023', '09/16/2023', '09/30/2023', '12/02/2023']","['Louisiana Tech', 'Prairie View', 'Charlotte', 'Tulane']","[1.0, 1.0, 1.0, 1.5]"
Isaiah Smith,SMU,663,2023-24,3,"[10, 12, 13]","['11/10/2023', '11/25/2023', '12/02/2023']","['North Texas', 'Navy', 'Tulane']","[1.0, 1.0, 2.5]"
Ahmad Walker,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[1.0]
Elijah Chatman,SMU,663,2023-24,2,"[2, 7]","['09/09/2023', '10/20/2023']","['Oklahoma', 'Temple']","[1.0, 1.5]"
Alexander Kilgore,SMU,663,2023-24,2,"[1, 10]","['09/02/2023', '11/10/2023']","['Louisiana Tech', 'North Texas']","[2.0, 1.0]"
DeVere Levelston,SMU,663,2023-24,1,[6],['10/12/2023'],['East Carolina'],[1.5]
Kori Roberson Jr.,SMU,663,2023-24,2,"[3, 5]","['09/16/2023', '09/30/2023']","['Prairie View', 'Charlotte']","[1.0, 1.0]"
Cameron Robertson,SMU,663,2023-24,3,"[10, 11, 12]","['11/10/2023', '11/18/2023', '11/25/2023']","['North Texas', 'Memphis', 'Navy']","[1.0, 1.0, 2.0]"
Mike Yoan Sandjo-Njiki,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[1.0]
Isaiah Nwokobia,SMU,663,2023-24,1,[4],['09/23/2023'],['TCU'],[1.0]
Josh Ratcliff,Southern Miss.,664,2023-24,1,[9],['11/04/2023'],['ULM'],[1.0]
Markel McLaurin,Southern Miss.,664,2023-24,1,[6],['10/07/2023'],['Old Dominion'],[1.0]
Dylan Lawrence,Southern Miss.,664,2023-24,1,[6],['10/07/2023'],['Old Dominion'],[1.0]
Averie Habas,Southern Miss.,664,2023-24,1,[6],['10/07/2023'],['Old Dominion'],[2.0]
Kristin Booth,Southern Miss.,664,2023-24,1,[6],['10/07/2023'],['Old Dominion'],[1.0]
Jalil Clemons,Southern Miss.,664,2023-24,4,"[3, 4, 5, 8]","['09/16/2023', '09/23/2023', '09/30/2023', '10/28/2023']","['Tulane', 'Arkansas St.', 'Texas St.', 'App State']","[1.0, 1.0, 1.0, 2.5]"
Eric Thomas Jr.,Southern Miss.,664,2023-24,1,[9],['11/04/2023'],['ULM'],[1.0]
Ja'Len Sims,Southern Miss.,664,2023-24,2,"[4, 8]","['09/23/2023', '10/28/2023']","['Arkansas St.', 'App State']","[1.0, 1.0]"
Josh Carr,Southern Miss.,664,2023-24,1,[4],['09/23/2023'],['Arkansas St.'],[1.0]
Jeremiah Robinson,Southern Miss.,664,2023-24,1,[2],['09/09/2023'],['Florida St.'],[1.0]
Brian Holloway,Texas St.,670,2023-24,1,[12],['11/25/2023'],['South Alabama'],[1.0]
Jordan Revels,Texas St.,670,2023-24,2,"[12, 13]","['11/25/2023', '12/26/2023']","['South Alabama', 'Rice']","[1.0, 1.0]"
"Alonzo Edwards, Jr.",Texas St.,670,2023-24,2,"[7, 10]","['10/14/2023', '11/11/2023']","['ULM', 'Coastal Carolina']","[1.0, 1.0]"
Sam Latham,Texas St.,670,2023-24,1,[6],['10/07/2023'],['Louisiana'],[1.0]
Kenny Haynes,Texas St.,670,2023-24,1,[2],['09/09/2023'],['UTSA'],[1.0]
Deven Wright,Texas St.,670,2023-24,2,"[3, 12]","['09/16/2023', '11/25/2023']","['Jackson St.', 'South Alabama']","[2.0, 1.0]"
"John Blunt, Jr.",Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[1.0]
Tavian Coleman,Texas St.,670,2023-24,2,"[1, 4]","['09/02/2023', '09/23/2023']","['Baylor', 'Nevada']","[1.0, 1.0]"
Chance Main,Texas St.,670,2023-24,1,[9],['11/04/2023'],['Ga. Southern'],[1.0]
Caleb Coleman,Texas St.,670,2023-24,1,[1],['09/02/2023'],['Baylor'],[1.0]
Kamren Washington,Texas St.,670,2023-24,1,[2],['09/09/2023'],['UTSA'],[1.0]
"Derick Mourning, Jr.",Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[1.0]
Terry Webb,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[1.0]
Victor Obi,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[1.0]
Dominique Ratcliff,Texas St.,670,2023-24,1,[11],['11/18/2023'],['Arkansas St.'],[2.0]
Kalil Alexander,Texas St.,670,2023-24,1,[12],['11/25/2023'],['South Alabama'],[2.0]
Ben Bell,Texas St.,670,2023-24,6,"[2, 5, 8, 9, 12, 13]","['09/09/2023', '09/30/2023', '10/28/2023', '11/04/2023', '11/25/2023', '12/26/2023']","['UTSA', 'Southern Miss.', 'Troy', 'Ga. Southern', 'South Alabama', 'Rice']","[2.0, 1.0, 2.0, 2.0, 1.0, 2.0]"
Kaleb Ford-Dement,Texas St.,670,2023-24,1,[11],['11/18/2023'],['Arkansas St.'],[1.0]
Kendre' Gant,Louisiana,671,2023-24,3,"[4, 5, 7]","['09/16/2023', '09/23/2023', '10/21/2023']","['UAB', 'Buffalo', 'Georgia St.']","[2.0, 1.0, 2.0]"
Antoine Baylis,Louisiana,671,2023-24,2,"[2, 8]","['09/02/2023', '10/28/2023']","['Northwestern St.', 'South Alabama']","[1.0, 1.5]"
Cameron Whitfield,Louisiana,671,2023-24,4,"[1, 4, 8, 13]","['09/30/2023', '09/16/2023', '10/28/2023', '12/16/2023']","['Minnesota', 'UAB', 'South Alabama', 'Jacksonville St.']","[1.0, 2.5, 3.5, 1.0]"
Tyler Guidry,Louisiana,671,2023-24,4,"[2, 4, 5, 12]","['09/02/2023', '09/16/2023', '09/23/2023', '11/25/2023']","['Northwestern St.', 'UAB', 'Buffalo', 'ULM']","[1.0, 1.0, 1.0, 2.0]"
Jasper Williams,Louisiana,671,2023-24,1,[3],['09/09/2023'],['Old Dominion'],[1.5]
Amir McDaniel,Louisiana,671,2023-24,1,[5],['09/23/2023'],['Buffalo'],[1.0]
Jordan Lawson,Louisiana,671,2023-24,2,"[2, 3]","['09/02/2023', '09/09/2023']","['Northwestern St.', 'Old Dominion']","[2.0, 1.5]"
K.C. Ossai,Louisiana,671,2023-24,1,[2],['09/02/2023'],['Northwestern St.'],[1.0]
Spencer Jorgensen,Stanford,674,2023-24,1,[6],['10/13/2023'],['Colorado'],[1.0]
Wilfredo Aybar,Stanford,674,2023-24,1,[8],['10/28/2023'],['Washington'],[1.0]
Mitch Leigber,Stanford,674,2023-24,2,"[6, 9]","['10/13/2023', '11/04/2023']","['Colorado', 'Washington St.']","[1.0, 1.0]"
Tevarua Tafiti,Stanford,674,2023-24,1,[10],['11/11/2023'],['Oregon St.'],[1.0]
Scotty Edwards,Stanford,674,2023-24,1,[1],['09/01/2023'],['Hawaii'],[1.0]
Collin Wright,Stanford,674,2023-24,1,[6],['10/13/2023'],['Colorado'],[1.0]
Aaron Armitage,Stanford,674,2023-24,1,[1],['09/01/2023'],['Hawaii'],[1.0]
Tristan Sinclair,Stanford,674,2023-24,1,[7],['10/21/2023'],['UCLA'],[1.0]
David Bailey,Stanford,674,2023-24,2,"[4, 7]","['09/23/2023', '10/21/2023']","['Arizona', 'UCLA']","[1.0, 1.0]"
Lance Keneley,Stanford,674,2023-24,1,[6],['10/13/2023'],['Colorado'],[1.0]
Anthony Franklin,Stanford,674,2023-24,1,[9],['11/04/2023'],['Washington St.'],[1.0]
Zach Rowell,Stanford,674,2023-24,1,[7],['10/21/2023'],['UCLA'],[1.0]
Anwar Sparrow,Syracuse,688,2023-24,2,"[3, 4]","['09/09/2023', '09/23/2023']","['Western Mich.', 'Army West Point']","[1.0, 1.0]"
Caleb Okechukwu,Syracuse,688,2023-24,2,"[5, 11]","['09/30/2023', '11/18/2023']","['Clemson', 'Georgia Tech']","[1.0, 1.0]"
Stefon Thompson,Syracuse,688,2023-24,1,[3],['09/09/2023'],['Western Mich.'],[1.0]
Leon Lowery,Syracuse,688,2023-24,2,"[5, 6]","['09/30/2023', '10/07/2023']","['Clemson', 'North Carolina']","[2.0, 1.0]"
Derek McDonald,Syracuse,688,2023-24,1,[3],['09/09/2023'],['Western Mich.'],[1.0]
Marlowe Wax,Syracuse,688,2023-24,3,"[1, 2, 8]","['09/16/2023', '09/02/2023', '10/26/2023']","['Purdue', 'Colgate', 'Virginia Tech']","[1.0, 1.0, 2.0]"
Kevon Darton,Syracuse,688,2023-24,4,"[1, 3, 6, 12]","['09/16/2023', '09/09/2023', '10/07/2023', '11/25/2023']","['Purdue', 'Western Mich.', 'North Carolina', 'Wake Forest']","[1.0, 1.0, 1.0, 2.0]"
Yosuke Sugano,Syracuse,688,2023-24,1,[13],['12/21/2023'],['South Fla.'],[1.0]
Kevin Jobity Jr.,Syracuse,688,2023-24,2,"[7, 13]","['10/14/2023', '12/21/2023']","['Florida St.', 'South Fla.']","[1.0, 1.0]"
Denis Jaquez Jr.,Syracuse,688,2023-24,1,[4],['09/23/2023'],['Army West Point'],[1.0]
Conlan Greene,Temple,690,2023-24,1,[11],['11/18/2023'],['UAB'],[1.0]
Jordan Magee,Temple,690,2023-24,2,"[1, 6]","['09/09/2023', '10/07/2023']","['Rutgers', 'UTSA']","[1.0, 1.0]"
Tyrese Whitaker,Temple,690,2023-24,1,[10],['11/11/2023'],['South Fla.'],[1.0]
Layton Jordan,Temple,690,2023-24,1,[10],['11/11/2023'],['South Fla.'],[1.0]
Lancine Turay,Temple,690,2023-24,1,[10],['11/11/2023'],['South Fla.'],[1.0]
"Allan Haye, Jr.",Temple,690,2023-24,1,[5],['09/28/2023'],['Tulsa'],[1.0]
Davion Hood,Temple,690,2023-24,1,[12],['11/24/2023'],['Memphis'],[1.0]
Diwun Black,Temple,690,2023-24,2,"[3, 7]","['09/16/2023', '10/14/2023']","['Norfolk St.', 'North Texas']","[1.0, 2.0]"
Jacob Hollins,Temple,690,2023-24,2,"[7, 10]","['10/14/2023', '11/11/2023']","['North Texas', 'South Fla.']","[1.0, 1.0]"
Jerquavion Mahone,Temple,690,2023-24,1,[11],['11/18/2023'],['UAB'],[1.0]
Joseph Appiah Darkwa,Temple,690,2023-24,1,[5],['09/28/2023'],['Tulsa'],[1.0]
Tra Thomas,Temple,690,2023-24,2,"[9, 10]","['11/04/2023', '11/11/2023']","['Navy', 'South Fla.']","[1.0, 2.0]"
Bryson Eason,Tennessee,694,2023-24,1,[3],['09/16/2023'],['Florida'],[1.0]
Omari Thomas,Tennessee,694,2023-24,1,[5],['09/30/2023'],['South Carolina'],[1.0]
Doneiko Slaughter,Tennessee,694,2023-24,1,[9],['11/04/2023'],['UConn'],[1.0]
Tyre West,Tennessee,694,2023-24,1,[13],['01/01/2024'],['Iowa'],[1.5]
James Pearce Jr.,Tennessee,694,2023-24,6,"[1, 2, 5, 6, 7, 10]","['09/02/2023', '09/09/2023', '09/30/2023', '10/14/2023', '10/21/2023', '11/11/2023']","['Virginia', 'Austin Peay', 'South Carolina', 'Texas A&M', 'Alabama', 'Missouri']","[2.0, 1.0, 2.0, 1.0, 1.0, 1.0]"
Joshua Josephs,Tennessee,694,2023-24,3,"[2, 5, 7]","['09/09/2023', '09/30/2023', '10/21/2023']","['Austin Peay', 'South Carolina', 'Alabama']","[1.0, 1.0, 1.0]"
Wesley Walker,Tennessee,694,2023-24,1,[2],['09/09/2023'],['Austin Peay'],[1.0]
Tamarion McDonald,Tennessee,694,2023-24,1,[4],['09/23/2023'],['UTSA'],[1.0]
Tyler Baron,Tennessee,694,2023-24,5,"[1, 2, 4, 6, 12]","['09/02/2023', '09/09/2023', '09/23/2023', '10/14/2023', '11/25/2023']","['Virginia', 'Austin Peay', 'UTSA', 'Texas A&M', 'Vanderbilt']","[2.0, 1.0, 1.0, 1.0, 1.0]"
Aaron Beasley,Tennessee,694,2023-24,2,"[2, 11]","['09/09/2023', '11/18/2023']","['Austin Peay', 'Georgia']","[2.0, 1.0]"
Caleb Herring,Tennessee,694,2023-24,1,[4],['09/23/2023'],['UTSA'],[1.0]
Kurott Garland,Tennessee,694,2023-24,2,"[2, 5]","['09/09/2023', '09/30/2023']","['Austin Peay', 'South Carolina']","[1.0, 1.0]"
Gabe Jeudy-Lally,Tennessee,694,2023-24,1,[7],['10/21/2023'],['Alabama'],[1.0]
Omarr Norman-Lott,Tennessee,694,2023-24,3,"[7, 8, 10]","['10/21/2023', '10/28/2023', '11/11/2023']","['Alabama', 'Kentucky', 'Missouri']","[1.0, 1.0, 2.0]"
Shemar Turner,Texas A&M,697,2023-24,3,"[1, 2, 3]","['09/02/2023', '09/09/2023', '09/16/2023']","['New Mexico', 'Miami (FL)', 'ULM']","[1.0, 1.0, 1.0]"
McKinnley Jackson,Texas A&M,697,2023-24,3,"[4, 5, 7]","['09/23/2023', '09/30/2023', '10/14/2023']","['Auburn', 'Arkansas', 'Tennessee']","[1.0, 1.0, 1.0]"
Edgerrin Cooper,Texas A&M,697,2023-24,3,"[4, 5, 6]","['09/23/2023', '09/30/2023', '10/07/2023']","['Auburn', 'Arkansas', 'Alabama']","[2.0, 1.0, 3.0]"
Walter Nolen,Texas A&M,697,2023-24,3,"[4, 5, 6]","['09/23/2023', '09/30/2023', '10/07/2023']","['Auburn', 'Arkansas', 'Alabama']","[1.5, 1.5, 1.0]"
Albert Regis,Texas A&M,697,2023-24,1,[5],['09/30/2023'],['Arkansas'],[1.0]
Demani Richardson,Texas A&M,697,2023-24,1,[10],['11/11/2023'],['Mississippi St.'],[1.0]
Fadil Diggs,Texas A&M,697,2023-24,3,"[6, 7, 8]","['10/07/2023', '10/14/2023', '10/28/2023']","['Alabama', 'Tennessee', 'South Carolina']","[2.0, 1.0, 1.0]"
Taurean York,Texas A&M,697,2023-24,2,"[10, 11]","['11/11/2023', '11/18/2023']","['Mississippi St.', 'Abilene Christian']","[1.0, 1.0]"
Bryce Anderson,Texas A&M,697,2023-24,1,[8],['10/28/2023'],['South Carolina'],[1.0]
Chris Russell Jr.,Texas A&M,697,2023-24,1,[4],['09/23/2023'],['Auburn'],[1.5]
Enai White,Texas A&M,697,2023-24,1,[5],['09/30/2023'],['Arkansas'],[1.0]
Josh DeBerry,Texas A&M,697,2023-24,1,[1],['09/02/2023'],['New Mexico'],[1.0]
Malick Sylla,Texas A&M,697,2023-24,1,[3],['09/16/2023'],['ULM'],[1.0]
Jarred Kerr,Texas A&M,697,2023-24,1,[10],['11/11/2023'],['Mississippi St.'],[1.0]
Shemar Stewart,Texas A&M,697,2023-24,1,[2],['09/09/2023'],['Miami (FL)'],[1.0]
Channing  Canada,TCU,698,2023-24,1,[4],['09/23/2023'],['SMU'],[1.0]
Damonic Williams,TCU,698,2023-24,3,"[2, 4, 11]","['09/09/2023', '09/23/2023', '11/18/2023']","['Nicholls', 'SMU', 'Baylor']","[1.0, 1.0, 1.0]"
Namdi Obiazor,TCU,698,2023-24,4,"[4, 7, 8, 9]","['09/23/2023', '10/14/2023', '10/21/2023', '11/02/2023']","['SMU', 'BYU', 'Kansas St.', 'Texas Tech']","[1.0, 1.0, 1.0, 1.0]"
Paul Oyewale,TCU,698,2023-24,2,"[1, 3]","['09/02/2023', '09/16/2023']","['Colorado', 'Houston']","[1.0, 2.0]"
Jai'Onte' McMillan,TCU,698,2023-24,1,[3],['09/16/2023'],['Houston'],[1.0]
Shad Banks Jr.,TCU,698,2023-24,1,[3],['09/16/2023'],['Houston'],[1.0]
Tico Brown,TCU,698,2023-24,1,[12],['11/24/2023'],['Oklahoma'],[1.0]
Caleb Fox,TCU,698,2023-24,2,"[1, 9]","['09/02/2023', '11/02/2023']","['Colorado', 'Texas Tech']","[1.0, 1.0]"
Johnny Hodges,TCU,698,2023-24,2,"[1, 3]","['09/02/2023', '09/16/2023']","['Colorado', 'Houston']","[1.0, 1.0]"
Jamoi Hodge,TCU,698,2023-24,1,[7],['10/14/2023'],['BYU'],[1.0]
Micheal Ibukun-Okeyode,TCU,698,2023-24,1,[12],['11/24/2023'],['Oklahoma'],[1.0]
Avery Helm,TCU,698,2023-24,1,[7],['10/14/2023'],['BYU'],[1.0]
Charles Esters III,Texas Tech,700,2023-24,2,"[5, 11]","['10/07/2023', '11/24/2023']","['Baylor', 'Texas']","[2.0, 1.0]"
Tony Bradford Jr.,Texas Tech,700,2023-24,3,"[9, 11, 12]","['11/11/2023', '11/24/2023', '09/30/2023']","['Kansas', 'Texas', 'Houston']","[1.5, 1.0, 1.0]"
Steve Linton,Texas Tech,700,2023-24,1,[5],['10/07/2023'],['Baylor'],[3.0]
Amier Washington,Texas Tech,700,2023-24,1,[13],['12/16/2023'],['California'],[2.0]
Myles Cole,Texas Tech,700,2023-24,1,[7],['10/21/2023'],['BYU'],[1.0]
Joseph Adedire,Texas Tech,700,2023-24,1,[13],['12/16/2023'],['California'],[1.0]
Jaylon Hutchings,Texas Tech,700,2023-24,1,[4],['09/23/2023'],['West Virginia'],[1.0]
Terrell Tilmon,Texas Tech,700,2023-24,1,[3],['09/16/2023'],['Tarleton St.'],[1.0]
E'Maurion Banks,Texas Tech,700,2023-24,1,[13],['12/16/2023'],['California'],[1.0]
Trevon McAlpine,Texas Tech,700,2023-24,1,[11],['11/24/2023'],['Texas'],[1.0]
Dadrion Taylor-Demerson,Texas Tech,700,2023-24,1,[9],['11/11/2023'],['Kansas'],[1.0]
Barryn Sorrell,Texas,703,2023-24,3,"[3, 8, 9]","['09/16/2023', '10/28/2023', '11/04/2023']","['Wyoming', 'BYU', 'Kansas St.']","[1.0, 1.0, 2.0]"
Anthony Hill Jr.,Texas,703,2023-24,4,"[2, 6, 12, 13]","['09/09/2023', '10/07/2023', '11/24/2023', '12/02/2023']","['Alabama', 'Oklahoma', 'Texas Tech', 'Oklahoma St.']","[2.0, 1.0, 1.0, 1.0]"
Ethan Burke,Texas,703,2023-24,4,"[1, 2, 7, 9]","['09/02/2023', '09/09/2023', '10/21/2023', '11/04/2023']","['Rice', 'Alabama', 'Houston', 'Kansas St.']","[1.0, 1.0, 1.0, 2.0]"
Jett Bush,Texas,703,2023-24,2,"[4, 12]","['09/23/2023', '11/24/2023']","['Baylor', 'Texas Tech']","[1.0, 1.0]"
Jaylan Ford,Texas,703,2023-24,1,[7],['10/21/2023'],['Houston'],[1.0]
Alfred Collins,Texas,703,2023-24,2,"[7, 11]","['10/21/2023', '11/18/2023']","['Houston', 'Iowa St.']","[1.0, 1.0]"
Byron Murphy II,Texas,703,2023-24,3,"[4, 10, 11]","['09/23/2023', '11/11/2023', '11/18/2023']","['Baylor', 'TCU', 'Iowa St.']","[2.0, 1.0, 1.5]"
Vernon Broughton,Texas,703,2023-24,1,[4],['09/23/2023'],['Baylor'],[1.0]
David Gbenda,Texas,703,2023-24,1,[2],['09/09/2023'],['Alabama'],[1.0]
Justice Finkley,Texas,703,2023-24,2,"[4, 8]","['09/23/2023', '10/28/2023']","['Baylor', 'BYU']","[1.0, 1.0]"
Trill Carter,Texas,703,2023-24,1,[10],['11/11/2023'],['TCU'],[1.0]
T'Vondre Sweat,Texas,703,2023-24,2,"[2, 10]","['09/09/2023', '11/11/2023']","['Alabama', 'TCU']","[1.0, 1.0]"
Kanious Vaughn,UTEP,704,2023-24,4,"[6, 7, 8, 10]","['09/29/2023', '10/11/2023', '10/18/2023', '11/04/2023']","['Louisiana Tech', 'FIU', 'New Mexico St.', 'Western Ky.']","[1.0, 2.0, 2.0, 1.0]"
Maurice Westmoreland,UTEP,704,2023-24,6,"[1, 4, 7, 9, 11, 12]","['09/09/2023', '09/16/2023', '10/11/2023', '10/25/2023', '11/18/2023', '11/25/2023']","['Northwestern', 'Arizona', 'FIU', 'Sam Houston', 'Middle Tenn.', 'Liberty']","[1.0, 1.0, 2.5, 1.0, 1.0, 1.0]"
