Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Rashaad Harding,Liberty,355,2021-22,2,"[11, 12]","['11/20/2021', '11/27/2021']","['Louisiana', 'Army West Point']","[10.0, 11.0]"
Elijah James,Liberty,355,2021-22,1,[7],['10/16/2021'],['ULM'],[12.0]
Noah Wilder,UAB,9,2021-22,2,"[7, 8]","['10/16/2021', '10/23/2021']","['Southern Miss.', 'Rice']","[14.0, 12.0]"
Antonio Moultrie,UAB,9,2021-22,2,"[8, 9]","['10/23/2021', '11/06/2021']","['Rice', 'Louisiana Tech']","[10.0, 10.0]"
Andrew Behm,Akron,5,2021-22,2,"[11, 12]","['11/20/2021', '11/27/2021']","['Kent St.', 'Toledo']","[11.0, 11.0]"
"Ronald Jackson, Jr.",Akron,5,2021-22,1,[5],['10/02/2021'],['Ohio'],[10.0]
Jaylen Kelly-Powell,Akron,5,2021-22,1,[8],['10/23/2021'],['Buffalo'],[16.0]
Bubba Arslanian,Akron,5,2021-22,2,"[2, 3]","['09/11/2021', '09/18/2021']","['Temple', 'Bryant']","[17.0, 12.0]"
Jeslord Boateng,Akron,5,2021-22,1,[8],['10/23/2021'],['Buffalo'],[11.0]
Brian Branch,Alabama,8,2021-22,1,[6],['10/09/2021'],['Texas A&M'],[11.0]
Henry To'oTo'o,Alabama,8,2021-22,1,[11],['11/20/2021'],['Arkansas'],[13.0]
Will Anderson Jr.,Alabama,8,2021-22,1,[11],['11/20/2021'],['Arkansas'],[11.0]
DeMarcco Hellams,Alabama,8,2021-22,1,[11],['11/20/2021'],['Arkansas'],[11.0]
Trey Cobb,App State,27,2021-22,1,[8],['10/30/2021'],['ULM'],[12.0]
D'Marco Jackson,App State,27,2021-22,3,"[2, 3, 4]","['09/11/2021', '09/18/2021', '09/23/2021']","['Miami (FL)', 'Elon', 'Marshall']","[10.0, 13.0, 14.0]"
Kaiden Smith,App State,27,2021-22,2,"[13, 14]","['12/04/2021', '12/18/2021']","['Louisiana', 'Western Ky.']","[12.0, 10.0]"
Darien Butler,Arizona St.,28,2021-22,1,[9],['11/06/2021'],['Southern California'],[10.0]
Kyle Soelle,Arizona St.,28,2021-22,1,[11],['11/20/2021'],['Oregon St.'],[15.0]
Jaxen Turner,Arizona,29,2021-22,1,[5],['10/09/2021'],['UCLA'],[10.0]
Christian Young,Arizona,29,2021-22,1,[8],['10/30/2021'],['Southern California'],[16.0]
Anthony Pandy,Arizona,29,2021-22,1,[5],['10/09/2021'],['UCLA'],[13.0]
Jerry Roberts,Arizona,29,2021-22,1,[10],['11/13/2021'],['Utah'],[10.0]
Jaydin Young,Arizona,29,2021-22,1,[8],['10/30/2021'],['Southern California'],[10.0]
Jaden Harris,Arkansas St.,30,2021-22,1,[8],['10/30/2021'],['South Alabama'],[12.0]
Taylon Doss,Arkansas St.,30,2021-22,1,[7],['10/21/2021'],['Louisiana'],[11.0]
Jarius Reimonenq,Arkansas St.,30,2021-22,1,[8],['10/30/2021'],['South Alabama'],[12.0]
Kivon Bennett,Arkansas St.,30,2021-22,1,[4],['09/25/2021'],['Tulsa'],[11.0]
Elery Alexander,Arkansas St.,30,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['Washington', 'Tulsa']","[10.0, 14.0]"
Caleb Bonner,Arkansas St.,30,2021-22,1,[5],['10/02/2021'],['Ga. Southern'],[10.0]
Melique Straker,Arkansas St.,30,2021-22,1,[11],['11/20/2021'],['Georgia St.'],[14.0]
Charles Willekes,Arkansas St.,30,2021-22,1,[11],['11/20/2021'],['Georgia St.'],[10.0]
Hayden Henry,Arkansas,31,2021-22,1,[12],['11/26/2021'],['Missouri'],[10.0]
Grant Morgan,Arkansas,31,2021-22,2,"[10, 11]","['11/13/2021', '11/20/2021']","['LSU', 'Alabama']","[11.0, 11.0]"
Joe Foucha,Arkansas,31,2021-22,1,[6],['10/09/2021'],['Ole Miss'],[11.0]
Jalen Catalon,Arkansas,31,2021-22,1,[1],['09/04/2021'],['Rice'],[11.0]
Bumper Pool,Arkansas,31,2021-22,2,"[9, 10]","['11/06/2021', '11/13/2021']","['Mississippi St.', 'LSU']","[10.0, 13.0]"
Myles Slusher,Arkansas,31,2021-22,1,[12],['11/26/2021'],['Missouri'],[10.0]
Zion Puckett,Auburn,37,2021-22,1,[6],['10/09/2021'],['Georgia'],[10.0]
Chandler Wooten,Auburn,37,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['Penn St.', 'Georgia St.']","[10.0, 12.0]"
Colby Wooden,Auburn,37,2021-22,1,[12],['11/27/2021'],['Alabama'],[11.0]
Zakoby McClain,Auburn,37,2021-22,2,"[7, 8]","['10/16/2021', '10/30/2021']","['Arkansas', 'Ole Miss']","[15.0, 14.0]"
Clayton Coll,Ball St.,47,2021-22,2,"[12, 13]","['11/23/2021', '12/25/2021']","['Buffalo', 'Georgia St.']","[10.0, 13.0]"
Jaylin Thomas,Ball St.,47,2021-22,3,"[10, 11, 12]","['11/10/2021', '11/17/2021', '11/23/2021']","['NIU', 'Central Mich.', 'Buffalo']","[15.0, 11.0, 14.0]"
J.T. Wahee,Ball St.,47,2021-22,1,[6],['10/09/2021'],['Western Mich.'],[10.0]
Brandon Martin,Ball St.,47,2021-22,1,[10],['11/10/2021'],['NIU'],[10.0]
Bryce Cosby,Ball St.,47,2021-22,6,"[6, 7, 8, 9, 10, 11]","['10/09/2021', '10/16/2021', '10/23/2021', '11/02/2021', '11/10/2021', '11/17/2021']","['Western Mich.', 'Eastern Mich.', 'Miami (OH)', 'Akron', 'NIU', 'Central Mich.']","[10.0, 12.0, 10.0, 11.0, 10.0, 12.0]"
Cole Pearce,Ball St.,47,2021-22,1,[5],['10/02/2021'],['Army West Point'],[14.0]
Jalen Pitre,Baylor,51,2021-22,1,[7],['10/16/2021'],['BYU'],[10.0]
Matt Jones,Baylor,51,2021-22,1,[5],['10/02/2021'],['Oklahoma St.'],[14.0]
