Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receptions
391.0,62.0,Anthony Simpson,Massachusetts,400,2023-24,6,"[6, 7, 8, 9, 11, 12]","['09/23/2023', '09/30/2023', '10/07/2023', '10/28/2023', '11/18/2023', '11/25/2023']","['New Mexico', 'Arkansas St.', 'Toledo', 'Army West Point', 'Liberty', 'UConn']","[5.0, 7.0, 7.0, 7.0, 6.0, 6.0]"
2185.0,380.0,Shawn Harris Jr.,Massachusetts,400,2023-24,1,[5],['09/16/2023'],['Eastern Mich.'],[6.0]
2185.0,380.0,Tauskie Dove,Memphis,404,2023-24,1,[11],['11/18/2023'],['SMU'],[5.0]
2185.0,380.0,Anthony Landphere,Memphis,404,2023-24,1,[10],['11/11/2023'],['Charlotte'],[7.0]
166.0,31.0,Roc Taylor,Memphis,404,2023-24,8,"[1, 3, 4, 5, 6, 9, 11, 13]","['09/02/2023', '09/14/2023', '09/23/2023', '09/30/2023', '10/13/2023', '11/04/2023', '11/18/2023', '12/29/2023']","['Bethune-Cookman', 'Navy', 'Missouri', 'Boise St.', 'Tulane', 'South Fla.', 'SMU', 'Iowa St.']","[6.0, 6.0, 7.0, 5.0, 7.0, 5.0, 8.0, 8.0]"
2185.0,380.0,Koby Drake,Memphis,404,2023-24,1,[7],['10/21/2023'],['UAB'],[6.0]
565.0,88.0,Blake Watson,Memphis,404,2023-24,5,"[1, 3, 4, 8, 10]","['09/02/2023', '09/14/2023', '09/23/2023', '10/28/2023', '11/11/2023']","['Bethune-Cookman', 'Navy', 'Missouri', 'North Texas', 'Charlotte']","[5.0, 6.0, 9.0, 5.0, 8.0]"
1528.0,263.0,Joe Scates,Memphis,404,2023-24,2,"[3, 11]","['09/14/2023', '11/18/2023']","['Navy', 'SMU']","[5.0, 5.0]"
565.0,88.0,DeMeer Blankumsee,Memphis,404,2023-24,5,"[1, 4, 6, 9, 11]","['09/02/2023', '09/23/2023', '10/13/2023', '11/04/2023', '11/18/2023']","['Bethune-Cookman', 'Missouri', 'Tulane', 'South Fla.', 'SMU']","[6.0, 7.0, 6.0, 6.0, 9.0]"
783.0,126.0,Gage Larvadain,Miami (OH),414,2023-24,4,"[1, 2, 7, 8]","['09/01/2023', '09/09/2023', '10/14/2023', '10/21/2023']","['Miami (FL)', 'Massachusetts', 'Western Mich.', 'Toledo']","[8.0, 8.0, 5.0, 7.0]"
