Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
263.0,47.0,James Blackman,Florida St.,234,2018-19,1,[9],['11/03/2018'],['NC State'],[421.0]
263.0,47.0,Deondre Francois,Florida St.,234,2018-19,1,[11],['11/17/2018'],['Boston College'],[322.0]
263.0,47.0,Jake Fromm,Georgia,257,2018-19,1,[13],['12/01/2018'],['Alabama'],[301.0]
22.0,4.0,Cole McDonald,Hawaii,277,2018-19,4,"[1, 2, 3, 4]","['08/25/2018', '09/01/2018', '09/08/2018', '09/15/2018']","['Colorado St.', 'Navy', 'Rice', 'Army West Point']","[418.0, 428.0, 319.0, 321.0]"
85.0,13.0,D'Eriq King,Houston,288,2018-19,2,"[7, 8]","['10/20/2018', '10/27/2018']","['Navy', 'South Fla.']","[413.0, 419.0]"
263.0,47.0,Peyton Ramsey,Indiana,306,2018-19,1,[12],['11/24/2018'],['Purdue'],[345.0]
263.0,47.0,Brock Purdy,Iowa St.,311,2018-19,1,[13],['12/28/2018'],['Washington St.'],[315.0]
263.0,47.0,Zeb Noland,Iowa St.,311,2018-19,1,[2],['09/15/2018'],['Oklahoma'],[360.0]
85.0,13.0,Nathan Stanley,Iowa,312,2018-19,2,"[5, 6]","['10/06/2018', '10/13/2018']","['Minnesota', 'Indiana']","[314.0, 320.0]"
263.0,47.0,Woody Barrett,Kent St.,331,2018-19,1,[4],['09/29/2018'],['Ball St.'],[314.0]
263.0,47.0,Joe Burrow,LSU,365,2018-19,1,[13],['01/01/2019'],['UCF'],[394.0]
85.0,13.0,J'Mar Smith,Louisiana Tech,366,2018-19,2,"[2, 3]","['09/08/2018', '09/22/2018']","['Southern U.', 'LSU']","[380.0, 330.0]"
263.0,47.0,Jawon Pass,Louisville,367,2018-19,1,[8],['10/27/2018'],['Wake Forest'],[358.0]
263.0,47.0,Isaiah Green,Marshall,388,2018-19,1,[10],['11/17/2018'],['UTSA'],[387.0]
263.0,47.0,Andrew Ford,Massachusetts,400,2018-19,1,[8],['10/20/2018'],['Coastal Carolina'],[326.0]
263.0,47.0,Ross Comis,Massachusetts,400,2018-19,1,[10],['11/03/2018'],['Liberty'],[540.0]
263.0,47.0,Brady White,Memphis,404,2018-19,1,[9],['11/03/2018'],['East Carolina'],[362.0]
85.0,13.0,Gus Ragland,Miami (OH),414,2018-19,2,"[8, 9]","['10/20/2018', '10/30/2018']","['Army West Point', 'Buffalo']","[329.0, 313.0]"
263.0,47.0,Rocky Lombardi,Michigan St.,416,2018-19,1,[8],['10/27/2018'],['Purdue'],[318.0]
263.0,47.0,Brian Lewerke,Michigan St.,416,2018-19,1,[5],['10/06/2018'],['Northwestern'],[329.0]
85.0,13.0,Brent Stockstill,Middle Tenn.,419,2018-19,2,"[13, 14]","['12/01/2018', '12/15/2018']","['UAB', 'App State']","[362.0, 330.0]"
263.0,47.0,Tanner Morgan,Minnesota,428,2018-19,1,[8],['10/26/2018'],['Indiana'],[302.0]
263.0,47.0,Keytaon Thompson,Mississippi St.,430,2018-19,1,[1],['09/01/2018'],['SFA'],[364.0]
8.0,2.0,Jordan Ta'amu,Ole Miss,433,2018-19,6,"[6, 7, 8, 9, 10, 11]","['10/06/2018', '10/13/2018', '10/20/2018', '11/03/2018', '11/10/2018', '11/17/2018']","['ULM', 'Arkansas', 'Auburn', 'South Carolina', 'Texas A&M', 'Vanderbilt']","[374.0, 387.0, 324.0, 379.0, 373.0, 457.0]"
85.0,13.0,Drew Lock,Missouri,434,2018-19,2,"[2, 3]","['09/08/2018', '09/15/2018']","['Wyoming', 'Purdue']","[398.0, 375.0]"
263.0,47.0,Nathan Elliott,North Carolina,457,2018-19,1,[10],['11/17/2018'],['Western Caro.'],[308.0]
85.0,13.0,Adrian Martinez,Nebraska,463,2018-19,2,"[4, 5]","['09/29/2018', '10/06/2018']","['Purdue', 'Wisconsin']","[323.0, 384.0]"
263.0,47.0,Max Gilliam,UNLV,465,2018-19,1,[7],['10/27/2018'],['San Jose St.'],[387.0]
85.0,13.0,Ty Gangi,Nevada,466,2018-19,2,"[10, 11]","['11/10/2018', '11/17/2018']","['Colorado St.', 'San Jose St.']","[404.0, 314.0]"
263.0,47.0,Josh Adkins,New Mexico St.,472,2018-19,1,[12],['11/24/2018'],['Liberty'],[313.0]
263.0,47.0,Sheriron Jones,New Mexico,473,2018-19,1,[4],['09/29/2018'],['Liberty'],[312.0]
263.0,47.0,Tevaka Tuioti,New Mexico,473,2018-19,1,[1],['09/01/2018'],['UIW'],[327.0]
42.0,6.0,Ryan Finley,NC State,490,2018-19,3,"[1, 2, 3]","['09/01/2018', '09/08/2018', '09/22/2018']","['James Madison', 'Georgia St.', 'Marshall']","[309.0, 370.0, 377.0]"
85.0,13.0,Mason Fine,North Texas,497,2018-19,2,"[8, 9]","['10/20/2018', '10/27/2018']","['UAB', 'Rice']","[336.0, 333.0]"
85.0,13.0,Caleb Evans,ULM,498,2018-19,2,"[8, 9]","['11/03/2018', '11/10/2018']","['Ga. Southern', 'South Alabama']","[337.0, 367.0]"
263.0,47.0,Marcus Childers,NIU,503,2018-19,1,[13],['11/30/2018'],['Buffalo'],[300.0]
85.0,13.0,Clayton Thorson,Northwestern,509,2018-19,2,"[5, 6]","['10/06/2018', '10/13/2018']","['Michigan St.', 'Nebraska']","[373.0, 455.0]"
85.0,13.0,Ian Book,Notre Dame,513,2018-19,2,"[8, 9]","['10/27/2018', '11/03/2018']","['Navy', 'Northwestern']","[330.0, 343.0]"
42.0,6.0,Dwayne Haskins,Ohio St.,518,2018-19,3,"[11, 12, 13]","['11/17/2018', '11/24/2018', '12/01/2018']","['Maryland', 'Michigan', 'Northwestern']","[405.0, 396.0, 499.0]"
85.0,13.0,Taylor Cornelius,Oklahoma St.,521,2018-19,2,"[10, 11]","['11/10/2018', '11/17/2018']","['Oklahoma', 'West Virginia']","[501.0, 338.0]"
42.0,6.0,Kyler Murray,Oklahoma,522,2018-19,3,"[12, 13, 14]","['11/23/2018', '12/01/2018', '12/29/2018']","['West Virginia', 'Texas', 'Alabama']","[364.0, 379.0, 308.0]"
