Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
336.0,32.0,Asim Rose,Kentucky,334,2020-21,3,"[2, 10, 11]","['10/03/2020', '12/05/2020', '01/02/2021']","['Ole Miss', 'South Carolina', 'NC State']","[117.0, 101.0, 148.0]"
860.0,121.0,Terry Wilson Jr.,Kentucky,334,2020-21,1,[2],['10/03/2020'],['Ole Miss'],[129.0]
548.0,73.0,Tyrion Davis-Price,LSU,365,2020-21,2,"[5, 8]","['10/24/2020', '11/21/2020']","['South Carolina', 'Arkansas']","[135.0, 104.0]"
860.0,121.0,John Emery Jr.,LSU,365,2020-21,1,[2],['10/03/2020'],['Vanderbilt'],[103.0]
548.0,73.0,Israel Tucker,Louisiana Tech,366,2020-21,2,"[7, 11]","['12/03/2020', '12/23/2020']","['North Texas', 'Ga. Southern']","[161.0, 123.0]"
548.0,73.0,Malik Cunningham,Louisville,367,2020-21,2,"[7, 9]","['11/14/2020', '11/28/2020']","['Virginia', 'Boston College']","[197.0, 133.0]"
860.0,121.0,Jalen Mitchell,Louisville,367,2020-21,1,[10],['12/12/2020'],['Wake Forest'],[168.0]
222.0,19.0,Javian Hawkins,Louisville,367,2020-21,4,"[2, 4, 5, 6]","['09/19/2020', '10/09/2020', '10/24/2020', '10/31/2020']","['Miami (FL)', 'Georgia Tech', 'Florida St.', 'Virginia Tech']","[164.0, 155.0, 174.0, 129.0]"
141.0,12.0,Brenden Knox,Marshall,388,2020-21,5,"[2, 3, 4, 5, 7]","['09/19/2020', '10/10/2020', '10/17/2020', '10/24/2020', '11/07/2020']","['App State', 'Western Ky.', 'Louisiana Tech', 'Fla. Atlantic', 'Massachusetts']","[138.0, 107.0, 125.0, 101.0, 118.0]"
336.0,32.0,Jake Funk,Maryland,392,2020-21,3,"[2, 4, 6]","['10/30/2020', '10/30/2020', '12/12/2020']","['Minnesota', 'Minnesota', 'Rutgers']","[221.0, 221.0, 180.0]"
860.0,121.0,Kylan Watkins,Memphis,404,2020-21,1,[10],['11/21/2020'],['SFA'],[100.0]
336.0,32.0,Rodrigues Clark,Memphis,404,2020-21,3,"[1, 4, 5]","['09/05/2020', '10/17/2020', '10/24/2020']","['Arkansas St.', 'UCF', 'Temple']","[105.0, 112.0, 106.0]"
860.0,121.0,D'Eriq King,Miami (FL),415,2020-21,1,[7],['11/06/2020'],['NC State'],[105.0]
548.0,73.0,Cam'Ron Harris,Miami (FL),415,2020-21,2,"[1, 2]","['09/10/2020', '09/19/2020']","['UAB', 'Louisville']","[134.0, 134.0]"
336.0,32.0,Hassan Haskins,Michigan,418,2020-21,3,"[2, 3, 7]","['11/28/2020', '11/22/2020', '11/21/2020']","['Penn St.', 'Rutgers', 'Rutgers']","[101.0, 111.0, 111.0]"
860.0,121.0,Chaton Mobley,Middle Tenn.,419,2020-21,1,[6],['10/17/2020'],['North Texas'],[156.0]
860.0,121.0,Asher O'Hara,Middle Tenn.,419,2020-21,1,[5],['10/10/2020'],['FIU'],[106.0]
28.0,2.0,Mohamed Ibrahim,Minnesota,428,2020-21,8,"[1, 2, 3, 4, 5, 6, 7, 8]","['11/13/2020', '12/12/2020', '11/20/2020', '10/30/2020', '10/24/2020', '10/30/2020', '11/07/2020', '12/19/2020']","['Iowa', 'Nebraska', 'Purdue', 'Maryland', 'Michigan', 'Maryland', 'Illinois', 'Wisconsin']","[144.0, 108.0, 102.0, 207.0, 140.0, 207.0, 224.0, 151.0]"
860.0,121.0,Snoop Conner,Ole Miss,433,2020-21,1,[3],['10/10/2020'],['Alabama'],[128.0]
860.0,121.0,Matt Corral,Ole Miss,433,2020-21,1,[9],['12/19/2020'],['LSU'],[158.0]
548.0,73.0,Jerrion Ealy,Ole Miss,433,2020-21,2,"[3, 4]","['10/10/2020', '10/17/2020']","['Alabama', 'Arkansas']","[120.0, 112.0]"
141.0,12.0,Larry Rountree,Missouri,434,2020-21,5,"[3, 4, 6, 9, 10]","['10/10/2020', '11/28/2020', '10/24/2020', '12/05/2020', '12/19/2020']","['LSU', 'Vanderbilt', 'Kentucky', 'Arkansas', 'Mississippi St.']","[119.0, 160.0, 126.0, 185.0, 121.0]"
95.0,7.0,Javonte Williams,North Carolina,457,2020-21,6,"[3, 4, 6, 7, 9, 10]","['10/10/2020', '10/24/2020', '11/07/2020', '11/14/2020', '12/12/2020', '10/17/2020']","['Virginia Tech', 'NC State', 'Duke', 'Wake Forest', 'Miami (FL)', 'Florida St.']","[169.0, 160.0, 151.0, 101.0, 236.0, 119.0]"
222.0,19.0,Michael Carter,North Carolina,457,2020-21,4,"[2, 3, 4, 9]","['10/03/2020', '10/10/2020', '10/24/2020', '12/12/2020']","['Boston College', 'Virginia Tech', 'NC State', 'Miami (FL)']","[121.0, 214.0, 106.0, 308.0]"
860.0,121.0,Aaron McAllister,Charlotte,458,2020-21,1,[3],['10/10/2020'],['North Texas'],[140.0]
548.0,73.0,Adrian Martinez,Nebraska,463,2020-21,2,"[7, 8]","['11/07/2020', '12/18/2020']","['Northwestern', 'Rutgers']","[102.0, 157.0]"
860.0,121.0,Luke McCaffrey,Nebraska,463,2020-21,1,[3],['11/21/2020'],['Illinois'],[122.0]
860.0,121.0,Dedrick Mills,Nebraska,463,2020-21,1,[8],['12/18/2020'],['Rutgers'],[191.0]
860.0,121.0,Max Gilliam,UNLV,465,2020-21,1,[2],['11/07/2020'],['Fresno St.'],[139.0]
860.0,121.0,Charles Williams,UNLV,465,2020-21,1,[1],['12/12/2020'],['Hawaii'],[148.0]
336.0,32.0,Toa Taua,Nevada,466,2020-21,3,"[1, 6, 9]","['11/28/2020', '11/05/2020', '12/22/2020']","['Hawaii', 'Utah St.', 'Tulane']","[131.0, 107.0, 102.0]"
860.0,121.0,Devonte Lee,Nevada,466,2020-21,1,[9],['12/22/2020'],['Tulane'],[105.0]
860.0,121.0,Juwaun Price,New Mexico St.,472,2020-21,1,[2],['03/07/2021'],['Utah Tech'],[165.0]
548.0,73.0,Bobby Cole,New Mexico,473,2020-21,2,"[2, 4]","['12/12/2020', '12/05/2020']","['Fresno St.', 'Wyoming']","[138.0, 131.0]"
860.0,121.0,Zonovan Knight,NC State,490,2020-21,1,[4],['10/10/2020'],['Virginia'],[101.0]
548.0,73.0,DeAndre Torrey,North Texas,497,2020-21,2,"[5, 8]","['10/17/2020', '11/21/2020']","['Middle Tenn.', 'Rice']","[143.0, 102.0]"
548.0,73.0,Tre Siggers,North Texas,497,2020-21,2,"[5, 10]","['10/17/2020', '12/21/2020']","['Middle Tenn.', 'App State']","[101.0, 120.0]"
336.0,32.0,Oscar Adaway III,North Texas,497,2020-21,3,"[1, 2, 9]","['09/05/2020', '09/19/2020', '11/28/2020']","['Houston Christian', 'SMU', 'UTSA']","[118.0, 104.0, 101.0]"
860.0,121.0,Jason Bean,North Texas,497,2020-21,1,[5],['10/17/2020'],['Middle Tenn.'],[169.0]
