Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
18.0,9.0,Israel Abanikanda,Pittsburgh,545,2022-23,6,"[6, 7, 8, 10, 11, 12]","['10/08/2022', '10/22/2022', '10/29/2022', '11/12/2022', '11/19/2022', '11/26/2022']","['Virginia Tech', 'Louisville', 'North Carolina', 'Virginia', 'Duke', 'Miami (FL)']","[320.0, 129.0, 127.0, 121.0, 113.0, 111.0]"
523.0,94.0,Rodney Hammond Jr.,Pittsburgh,545,2022-23,1,[9],['11/05/2022'],['Syracuse'],[124.0]
523.0,94.0,Dylan Downing,Purdue,559,2022-23,1,[4],['09/24/2022'],['Fla. Atlantic'],[113.0]
199.0,37.0,Devin Mockobee,Purdue,559,2022-23,2,"[7, 8]","['10/15/2022', '10/22/2022']","['Nebraska', 'Wisconsin']","[178.0, 108.0]"
523.0,94.0,Samuel Brown V,Rutgers,587,2022-23,1,[7],['10/22/2022'],['Indiana'],[101.0]
523.0,94.0,Kyle Monangai,Rutgers,587,2022-23,1,[10],['11/12/2022'],['Michigan St.'],[162.0]
523.0,94.0,Jordan Byrd,San Diego St.,626,2022-23,1,[4],['09/24/2022'],['Toledo'],[115.0]
523.0,94.0,Kenan Christon,San Diego St.,626,2022-23,1,[11],['11/18/2022'],['New Mexico'],[102.0]
523.0,94.0,Todd Centeio,James Madison,317,2022-23,1,[1],['09/03/2022'],['Middle Tenn.'],[110.0]
199.0,37.0,Percy Agyei-Obese,James Madison,317,2022-23,2,"[5, 6]","['10/08/2022', '10/15/2022']","['Arkansas St.', 'Ga. Southern']","[158.0, 106.0]"
523.0,94.0,Latrele Palmer,James Madison,317,2022-23,1,[4],['10/01/2022'],['Texas St.'],[106.0]
199.0,34.0,Nick Nash,San Jose St.,630,2021-22,2,"[8, 9]","['10/21/2021', '10/30/2021']","['UNLV', 'Wyoming']","[121.0, 111.0]"
523.0,94.0,Tyler Nevens,San Jose St.,630,2021-22,1,[10],['11/06/2021'],['Nevada'],[116.0]
523.0,94.0,Kareem Walker,South Alabama,646,2021-22,1,[12],['09/18/2021'],['Alcorn'],[150.0]
523.0,94.0,Terrion Avery,South Alabama,646,2021-22,1,[7],['10/30/2021'],['Arkansas St.'],[113.0]
523.0,94.0,Zaquandre White,South Carolina,648,2021-22,1,[9],['11/06/2021'],['Florida'],[111.0]
523.0,94.0,Kevin Harris,South Carolina,648,2021-22,1,[13],['12/30/2021'],['North Carolina'],[182.0]
523.0,94.0,Brian Battie,South Fla.,651,2021-22,1,[3],['09/18/2021'],['Florida A&M'],[110.0]
199.0,34.0,Kelley Joiner,South Fla.,651,2021-22,2,"[7, 8]","['10/23/2021', '10/28/2021']","['Temple', 'East Carolina']","[126.0, 103.0]"
523.0,94.0,Jaren Mangham,South Fla.,651,2021-22,1,[7],['10/23/2021'],['Temple'],[152.0]
523.0,94.0,Vavae Malepeai,Southern California,657,2021-22,1,[10],['12/04/2021'],['California'],[107.0]
199.0,34.0,Keaontay Ingram,Southern California,657,2021-22,2,"[7, 8]","['10/23/2021', '10/30/2021']","['Notre Dame', 'Arizona']","[138.0, 204.0]"
523.0,94.0,Ulysses Bentley IV,SMU,663,2021-22,1,[4],['09/25/2021'],['TCU'],[153.0]
523.0,94.0,Tre Siggers,SMU,663,2021-22,1,[4],['09/25/2021'],['TCU'],[110.0]
