Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receiving Yards
1593.0,300.0,Jevin Frett,ULM,498,2022-23,3,"[1, 2, 7]","['09/03/2022', '09/10/2022', '10/15/2022']","['Texas', 'Nicholls', 'South Alabama']","[61.0, 71.0, 83.0]"
3023.0,536.0,Fabian McCray,NIU,503,2022-23,1,[12],['11/26/2022'],['Akron'],[52.0]
3023.0,536.0,Harrison Waylee,NIU,503,2022-23,1,[6],['10/08/2022'],['Toledo'],[96.0]
3023.0,536.0,Shemar Thornton,NIU,503,2022-23,1,[1],['09/01/2022'],['Eastern Ill.'],[81.0]
1593.0,300.0,Kacper Rutkiewicz,NIU,503,2022-23,3,"[4, 5, 11]","['09/24/2022', '10/01/2022', '11/16/2022']","['Kentucky', 'Ball St.', 'Miami (OH)']","[63.0, 89.0, 80.0]"
2169.0,402.0,Tristen Tewes,NIU,503,2022-23,2,"[9, 10]","['11/02/2022', '11/09/2022']","['Central Mich.', 'Western Mich.']","[70.0, 64.0]"
408.0,79.0,Cole Tucker,NIU,503,2022-23,7,"[1, 2, 3, 4, 5, 6, 7]","['09/01/2022', '09/10/2022', '09/17/2022', '09/24/2022', '10/01/2022', '10/08/2022', '10/15/2022']","['Eastern Ill.', 'Tulsa', 'Vanderbilt', 'Kentucky', 'Ball St.', 'Toledo', 'Eastern Mich.']","[67.0, 123.0, 88.0, 55.0, 89.0, 56.0, 58.0]"
3023.0,536.0,Donny Navarro,Northwestern,509,2022-23,1,[5],['10/01/2022'],['Penn St.'],[55.0]
408.0,79.0,Malik Washington,Northwestern,509,2022-23,7,"[1, 2, 3, 4, 7, 10, 12]","['08/27/2022', '09/10/2022', '09/17/2022', '09/24/2022', '10/22/2022', '11/12/2022', '11/26/2022']","['Nebraska', 'Duke', 'Southern Ill.', 'Miami (OH)', 'Maryland', 'Minnesota', 'Illinois']","[97.0, 51.0, 76.0, 81.0, 72.0, 97.0, 56.0]"
3023.0,536.0,Bryce Kirtz,Northwestern,509,2022-23,1,[6],['10/08/2022'],['Wisconsin'],[66.0]
1593.0,300.0,Evan Hull,Northwestern,509,2022-23,3,"[1, 2, 6]","['08/27/2022', '09/10/2022', '10/08/2022']","['Nebraska', 'Duke', 'Wisconsin']","[55.0, 213.0, 62.0]"
3023.0,536.0,Thomas Gordon,Northwestern,509,2022-23,1,[2],['09/10/2022'],['Duke'],[78.0]
2169.0,402.0,Braden Lenzy,Notre Dame,513,2022-23,2,"[10, 13]","['11/12/2022', '12/30/2022']","['Navy', 'South Carolina']","[67.0, 89.0]"
1593.0,300.0,Jayden Thomas,Notre Dame,513,2022-23,3,"[5, 10, 13]","['10/08/2022', '11/12/2022', '12/30/2022']","['BYU', 'Navy', 'South Carolina']","[74.0, 80.0, 66.0]"
1593.0,300.0,Lorenzo Styles Jr.,Notre Dame,513,2022-23,3,"[1, 2, 4]","['09/03/2022', '09/10/2022', '09/24/2022']","['Ohio St.', 'Marshall', 'North Carolina']","[54.0, 69.0, 69.0]"
254.0,41.0,Michael Mayer,Notre Dame,513,2022-23,8,"[2, 4, 5, 6, 7, 8, 11, 12]","['09/10/2022', '09/24/2022', '10/08/2022', '10/15/2022', '10/22/2022', '10/29/2022', '11/19/2022', '11/26/2022']","['Marshall', 'North Carolina', 'BYU', 'Stanford', 'UNLV', 'Syracuse', 'Boston College', 'Southern California']","[103.0, 88.0, 118.0, 60.0, 115.0, 54.0, 64.0, 98.0]"
2169.0,402.0,Logan Diggs,Notre Dame,513,2022-23,2,"[4, 13]","['09/24/2022', '12/30/2022']","['North Carolina', 'South Carolina']","[65.0, 81.0]"
