Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Saeed Holt,Toledo,709,2019-20,3,"[1, 3, 5]","['08/31/2019', '09/21/2019', '10/05/2019']","['Kentucky', 'Colorado St.', 'Western Mich.']","[10.0, 12.0, 12.0]"
Jordan Fisher,Toledo,709,2019-20,2,"[3, 9]","['09/21/2019', '11/05/2019']","['Colorado St.', 'Kent St.']","[10.0, 11.0]"
Tycen Anderson,Toledo,709,2019-20,2,"[3, 11]","['09/21/2019', '11/20/2019']","['Colorado St.', 'Buffalo']","[12.0, 12.0]"
Dell Pettus,Troy,716,2019-20,1,[4],['09/28/2019'],['Arkansas St.'],[10.0]
Will Choloh,Troy,716,2019-20,1,[8],['11/02/2019'],['Coastal Carolina'],[10.0]
Justin Whisenhunt,Troy,716,2019-20,1,[6],['10/16/2019'],['South Alabama'],[10.0]
Carlton Martial,Troy,716,2019-20,7,"[1, 2, 7, 8, 9, 10, 11]","['08/31/2019', '09/14/2019', '10/26/2019', '11/02/2019', '11/09/2019', '11/23/2019', '11/29/2019']","['Campbell', 'Southern Miss.', 'Georgia St.', 'Coastal Carolina', 'Ga. Southern', 'Louisiana', 'App State']","[13.0, 16.0, 12.0, 12.0, 11.0, 12.0, 13.0]"
Lawrence Graham,Tulane,718,2019-20,1,[8],['10/26/2019'],['Navy'],[10.0]
Cristian Williams,Tulsa,719,2019-20,1,[10],['11/08/2019'],['UCF'],[10.0]
Cooper Edmiston,Tulsa,719,2019-20,4,"[2, 5, 6, 11]","['09/07/2019', '10/05/2019', '10/12/2019', '11/23/2019']","['San Jose St.', 'SMU', 'Navy', 'Houston']","[11.0, 10.0, 12.0, 13.0]"
Zaven Collins,Tulsa,719,2019-20,1,[6],['10/12/2019'],['Navy'],[13.0]
Brandon Johnson,Tulsa,719,2019-20,1,[5],['10/05/2019'],['SMU'],[12.0]
Kendarin Ray,Tulsa,719,2019-20,1,[9],['11/02/2019'],['Tulane'],[12.0]
Reggie Robinson II,Tulsa,719,2019-20,1,[8],['10/26/2019'],['Memphis'],[12.0]
Jeremy Fejedelem,Air Force,721,2019-20,2,"[2, 12]","['09/14/2019', '11/30/2019']","['Colorado', 'Wyoming']","[14.0, 10.0]"
Kyle Johnson,Air Force,721,2019-20,1,[9],['11/02/2019'],['Army West Point'],[11.0]
Tre Bugg III,Air Force,721,2019-20,1,[11],['11/16/2019'],['Colorado St.'],[10.0]
Demonte Meeks,Air Force,721,2019-20,3,"[5, 10, 12]","['10/05/2019', '11/23/2019', '11/30/2019']","['Navy', 'New Mexico', 'Wyoming']","[11.0, 14.0, 10.0]"
Malkelm Morrison,Army West Point,725,2019-20,1,[5],['10/05/2019'],['Tulane'],[10.0]
Elijah Riley,Army West Point,725,2019-20,3,"[2, 6, 9]","['09/07/2019', '10/12/2019', '11/02/2019']","['Michigan', 'Western Ky.', 'Air Force']","[13.0, 11.0, 11.0]"
Arik Smith,Army West Point,725,2019-20,1,[13],['12/14/2019'],['Navy'],[12.0]
Ryan Velez,Army West Point,725,2019-20,1,[5],['10/05/2019'],['Tulane'],[12.0]
Cole Christiansen,Army West Point,725,2019-20,6,"[2, 4, 5, 6, 9, 11]","['09/07/2019', '09/21/2019', '10/05/2019', '10/12/2019', '11/02/2019', '11/16/2019']","['Michigan', 'Morgan St.', 'Tulane', 'Western Ky.', 'Air Force', 'VMI']","[12.0, 11.0, 10.0, 13.0, 16.0, 10.0]"
