Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
269.0,44.0,Frank Harris,UTSA,706,2021-22,2,"[6, 11]","['10/09/2021', '11/20/2021']","['Western Ky.', 'UAB']","[349.0, 323.0]"
443.0,76.0,Dequan Finn,Toledo,709,2021-22,1,[9],['11/02/2021'],['Eastern Mich.'],[461.0]
443.0,76.0,Gunnar Watson,Troy,716,2021-22,1,[10],['11/13/2021'],['Louisiana'],[350.0]
443.0,76.0,Taylor Powell,Troy,716,2021-22,1,[4],['09/25/2021'],['ULM'],[311.0]
443.0,76.0,Michael Pratt,Tulane,718,2021-22,1,[11],['11/20/2021'],['South Fla.'],[311.0]
269.0,44.0,Davis Brin,Tulsa,719,2021-22,2,"[3, 4]","['09/18/2021', '09/25/2021']","['Ohio St.', 'Arkansas St.']","[428.0, 355.0]"
75.0,17.0,Logan Bonner,Utah St.,731,2021-22,5,"[2, 8, 9, 12, 13]","['09/10/2021', '10/30/2021', '11/06/2021', '11/26/2021', '12/04/2021']","['North Dakota', 'Hawaii', 'New Mexico St.', 'New Mexico', 'San Diego St.']","[390.0, 361.0, 359.0, 312.0, 318.0]"
443.0,76.0,Cameron Rising,Utah,732,2021-22,1,[5],['10/09/2021'],['Southern California'],[306.0]
443.0,76.0,Ken Seals,Vanderbilt,736,2021-22,1,[5],['10/02/2021'],['UConn'],[333.0]
6.0,3.0,Brennan Armstrong,Virginia,746,2021-22,10,"[1, 2, 3, 4, 6, 7, 8, 10, 11, 12]","['09/04/2021', '09/11/2021', '09/18/2021', '09/24/2021', '10/09/2021', '10/16/2021', '10/30/2021', '11/20/2021', '11/27/2021', '10/23/2021']","['William & Mary', 'Illinois', 'North Carolina', 'Wake Forest', 'Louisville', 'Duke', 'BYU', 'Pittsburgh', 'Virginia Tech', 'Georgia Tech']","[339.0, 405.0, 554.0, 407.0, 487.0, 364.0, 337.0, 487.0, 405.0, 396.0]"
28.0,10.0,Sam Hartman,Wake Forest,749,2021-22,7,"[5, 6, 7, 8, 9, 11, 14]","['10/02/2021', '10/09/2021', '10/23/2021', '10/30/2021', '11/06/2021', '11/20/2021', '12/31/2021']","['Louisville', 'Syracuse', 'Army West Point', 'Duke', 'North Carolina', 'Clemson', 'Rutgers']","[324.0, 330.0, 458.0, 402.0, 398.0, 312.0, 304.0]"
269.0,44.0,Jayden de Laura,Washington St.,754,2021-22,2,"[2, 6]","['09/11/2021', '10/09/2021']","['Portland St.', 'Oregon St.']","[303.0, 399.0]"
269.0,44.0,Dylan Morris,Washington,756,2021-22,2,"[3, 11]","['09/18/2021', '11/20/2021']","['Arkansas St.', 'Colorado']","[367.0, 387.0]"
269.0,44.0,Jarret Doege,West Virginia,768,2021-22,2,"[5, 8]","['10/02/2021', '10/30/2021']","['Texas Tech', 'Iowa St.']","[318.0, 370.0]"
1.0,1.0,Bailey Zappe,Western Ky.,772,2021-22,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14]","['09/02/2021', '09/11/2021', '09/25/2021', '10/02/2021', '10/09/2021', '10/16/2021', '10/23/2021', '10/30/2021', '11/13/2021', '11/20/2021', '11/27/2021', '12/03/2021', '12/18/2021']","['UT Martin', 'Army West Point', 'Indiana', 'Michigan St.', 'UTSA', 'Old Dominion', 'FIU', 'Charlotte', 'Rice', 'Fla. Atlantic', 'Marshall', 'UTSA', 'App State']","[424.0, 435.0, 365.0, 488.0, 523.0, 397.0, 382.0, 393.0, 482.0, 470.0, 328.0, 577.0, 422.0]"
113.0,21.0,Kaleb Eleby,Western Mich.,774,2021-22,4,"[3, 7, 11, 12]","['09/18/2021', '10/16/2021', '11/16/2021', '11/23/2021']","['Pittsburgh', 'Kent St.', 'Eastern Mich.', 'NIU']","[337.0, 307.0, 307.0, 338.0]"
269.0,44.0,Malik Willis,Liberty,355,2021-22,2,"[9, 12]","['10/30/2021', '11/27/2021']","['Massachusetts', 'Army West Point']","[307.0, 305.0]"
443.0,76.0,Tyler Johnston III,UAB,9,2021-22,1,[1],['09/01/2021'],['Jacksonville St.'],[319.0]
443.0,76.0,Dylan Hopkins,UAB,9,2021-22,1,[8],['10/23/2021'],['Rice'],[318.0]
269.0,44.0,Zach Gibson,Akron,5,2021-22,2,"[9, 10]","['11/02/2021', '11/09/2021']","['Ball St.', 'Western Mich.']","[331.0, 305.0]"
6.0,3.0,Bryce Young,Alabama,8,2021-22,10,"[1, 4, 6, 7, 8, 9, 11, 12, 13, 15]","['09/04/2021', '09/25/2021', '10/09/2021', '10/16/2021', '10/23/2021', '11/06/2021', '11/20/2021', '11/27/2021', '12/04/2021', '01/10/2022']","['Miami (FL)', 'Southern Miss.', 'Texas A&M', 'Mississippi St.', 'Tennessee', 'LSU', 'Arkansas', 'Auburn', 'Georgia', 'Georgia']","[344.0, 313.0, 369.0, 348.0, 371.0, 302.0, 559.0, 317.0, 421.0, 369.0]"
168.0,28.0,Chase Brice,App State,27,2021-22,3,"[5, 7, 14]","['10/02/2021', '10/20/2021', '12/18/2021']","['Georgia St.', 'Coastal Carolina', 'Western Ky.']","[326.0, 347.0, 317.0]"
443.0,76.0,Gunner Cruz,Arizona,29,2021-22,1,[1],['09/04/2021'],['BYU'],[336.0]
443.0,76.0,Will Plummer,Arizona,29,2021-22,1,[12],['11/27/2021'],['Arizona St.'],[346.0]
